geoid,name,time,median_household_income
11001000100,11001000100,2015,175048
11001000101,11001000101,2015,NA
11001000102,11001000102,2015,NA
11001000201,11001000201,2015,NA
11001000202,11001000202,2015,153705
11001000300,11001000300,2015,125078
11001000400,11001000400,2015,178750
11001000501,11001000501,2015,107448
11001000502,11001000502,2015,114152
11001000600,11001000600,2015,158625
11001000701,11001000701,2015,80223
11001000702,11001000702,2015,72346
11001000703,11001000703,2015,NA
11001000704,11001000704,2015,NA
11001000801,11001000801,2015,121265
11001000802,11001000802,2015,91307
11001000803,11001000803,2015,NA
11001000804,11001000804,2015,NA
11001000901,11001000901,2015,231542
11001000902,11001000902,2015,200893
11001000903,11001000903,2015,NA
11001000904,11001000904,2015,NA
11001001001,11001001001,2015,153992
11001001002,11001001002,2015,82847
11001001003,11001001003,2015,NA
11001001004,11001001004,2015,NA
11001001100,11001001100,2015,149265
11001001200,11001001200,2015,106667
11001001301,11001001301,2015,128395
11001001302,11001001302,2015,98143
11001001303,11001001303,2015,NA
11001001304,11001001304,2015,NA
11001001401,11001001401,2015,112700
11001001402,11001001402,2015,118693
11001001500,11001001500,2015,200031
11001001600,11001001600,2015,143194
11001001702,11001001702,2015,92543
11001001803,11001001803,2015,52411
11001001804,11001001804,2015,46283
11001001901,11001001901,2015,74344
11001001902,11001001902,2015,88291
11001002001,11001002001,2015,63385
11001002002,11001002002,2015,80703
11001002101,11001002101,2015,57565
11001002102,11001002102,2015,65387
11001002201,11001002201,2015,65638
11001002202,11001002202,2015,48274
11001002301,11001002301,2015,97500
11001002302,11001002302,2015,59630
11001002400,11001002400,2015,96667
11001002501,11001002501,2015,35370
11001002502,11001002502,2015,64616
11001002503,11001002503,2015,NA
11001002504,11001002504,2015,NA
11001002600,11001002600,2015,135164
11001002701,11001002701,2015,56630
11001002702,11001002702,2015,87043
11001002703,11001002703,2015,NA
11001002704,11001002704,2015,NA
11001002801,11001002801,2015,48641
11001002802,11001002802,2015,49338
11001002900,11001002900,2015,92900
11001003000,11001003000,2015,70238
11001003100,11001003100,2015,81356
11001003200,11001003200,2015,80848
11001003301,11001003301,2015,105132
11001003302,11001003302,2015,112500
11001003400,11001003400,2015,80500
11001003500,11001003500,2015,69190
11001003600,11001003600,2015,91250
11001003700,11001003700,2015,73232
11001003701,11001003701,2015,NA
11001003702,11001003702,2015,NA
11001003800,11001003800,2015,92885
11001003801,11001003801,2015,NA
11001003802,11001003802,2015,NA
11001003900,11001003900,2015,89662
11001003901,11001003901,2015,NA
11001003902,11001003902,2015,NA
11001004001,11001004001,2015,104775
11001004002,11001004002,2015,90886
11001004100,11001004100,2015,123456
11001004201,11001004201,2015,96650
11001004202,11001004202,2015,102308
11001004300,11001004300,2015,80000
11001004400,11001004400,2015,148766
11001004401,11001004401,2015,NA
11001004402,11001004402,2015,NA
11001004600,11001004600,2015,64235
11001004701,11001004701,2015,24767
11001004702,11001004702,2015,94688
11001004703,11001004703,2015,NA
11001004704,11001004704,2015,NA
11001004801,11001004801,2015,103273
11001004802,11001004802,2015,63015
11001004901,11001004901,2015,67104
11001004902,11001004902,2015,81591
11001005001,11001005001,2015,133686
11001005002,11001005002,2015,81128
11001005003,11001005003,2015,NA
11001005004,11001005004,2015,NA
11001005201,11001005201,2015,102420
11001005202,11001005202,2015,NA
11001005203,11001005203,2015,NA
11001005301,11001005301,2015,89097
11001005302,11001005302,2015,NA
11001005303,11001005303,2015,NA
11001005500,11001005500,2015,97558
11001005501,11001005501,2015,NA
11001005502,11001005502,2015,NA
11001005503,11001005503,2015,NA
11001005600,11001005600,2015,71250
11001005601,11001005601,2015,NA
11001005602,11001005602,2015,NA
11001005800,11001005800,2015,124306
11001005801,11001005801,2015,NA
11001005802,11001005802,2015,NA
11001005900,11001005900,2015,99330
11001006202,11001006202,2015,NA
11001006400,11001006400,2015,22969
11001006500,11001006500,2015,128750
11001006600,11001006600,2015,143485
11001006700,11001006700,2015,136797
11001006801,11001006801,2015,75742
11001006802,11001006802,2015,113250
11001006804,11001006804,2015,NA
11001006900,11001006900,2015,108571
11001007000,11001007000,2015,112096
11001007100,11001007100,2015,72904
11001007200,11001007200,2015,106897
11001007201,11001007201,2015,NA
11001007202,11001007202,2015,NA
11001007203,11001007203,2015,NA
11001007301,11001007301,2015,75625
11001007304,11001007304,2015,29542
11001007401,11001007401,2015,15205
11001007403,11001007403,2015,31399
11001007404,11001007404,2015,28569
