Year,State,Nominal Sales Per Capital FAH ,Nominal Sales Per Capital FAFH,Total nominal food sales per capita,Constant dollar sales per capita FAH,Constant dollar sales per capita FAFH,Total constant dollar food sales per capita
1997,Alabama,"1,402.66",830.93,"2,233.59","1,034.48",644.63,"1,679.11"
1998,Alabama,"1,436.63",881.93,"2,318.56","1,039.80",666.79,"1,706.58"
1999,Alabama,"1,525.26",941.93,"2,467.19","1,083.10",694.89,"1,778.00"
2000,Alabama,"1,553.83","1,016.75","2,570.58","1,079.08",732.78,"1,811.86"
2001,Alabama,"1,605.38",970.99,"2,576.37","1,079.51",680.08,"1,759.59"
2002,Alabama,"1,570.10","1,016.82","2,586.92","1,042.56",694.61,"1,737.17"
2003,Alabama,"1,607.18","1,085.97","2,693.15","1,044.57",726.37,"1,770.94"
2004,Alabama,"1,652.36","1,182.38","2,834.74","1,034.72",768.07,"1,802.80"
2005,Alabama,"1,806.21","1,258.34","3,064.55","1,109.61",792.48,"1,902.09"
2006,Alabama,"1,835.88","1,329.61","3,165.50","1,108.57",812.17,"1,920.74"
2007,Alabama,"1,848.83","1,391.84","3,240.66","1,071.20",820.32,"1,891.51"
2008,Alabama,"1,863.23","1,409.04","3,272.28","1,014.61",795.39,"1,810.00"
2009,Alabama,"1,782.06","1,394.78","3,176.84",965.90,760.88,"1,726.78"
2010,Alabama,"1,832.98","1,419.84","3,252.83",990.22,764.82,"1,755.05"
2011,Alabama,"1,901.74","1,488.67","3,390.41",980.29,783.58,"1,763.87"
2012,Alabama,"2,041.39","1,557.15","3,598.54","1,026.97",796.94,"1,823.91"
2013,Alabama,"2,112.05","1,634.87","3,746.91","1,053.00",819.22,"1,872.23"
2014,Alabama,"2,186.80","1,764.63","3,951.43","1,064.83",863.25,"1,928.08"
2015,Alabama,"2,257.89","1,902.46","4,160.35","1,086.77",904.80,"1,991.57"
2016,Alabama,"2,267.64","1,988.81","4,256.44","1,106.00",922.12,"2,028.12"
2017,Alabama,"2,331.24","2,099.21","4,430.45","1,139.29",951.11,"2,090.40"
2018,Alabama,"2,402.33","2,188.32","4,590.65","1,168.78",966.09,"2,134.87"
2019,Alabama,"2,405.47","2,260.49","4,665.96","1,160.08",968.07,"2,128.14"
2020,Alabama,"2,539.24","1,933.36","4,472.60","1,183.20",801.11,"1,984.32"
1997,Alaska,"1,213.87","1,028.80","2,242.67",895.24,798.14,"1,693.38"
1998,Alaska,"1,568.86","1,091.81","2,660.68","1,135.50",825.47,"1,960.97"
1999,Alaska,"1,634.47","1,130.06","2,764.53","1,160.65",833.68,"1,994.33"
2000,Alaska,"1,797.81","1,194.14","2,991.95","1,248.51",860.63,"2,109.14"
2001,Alaska,"1,964.39","1,250.55","3,214.94","1,320.92",875.89,"2,196.81"
2002,Alaska,"1,547.33","1,279.73","2,827.07","1,027.44",874.21,"1,901.65"
2003,Alaska,"1,346.67","1,351.94","2,698.61",875.26,904.26,"1,779.52"
2004,Alaska,"1,596.69","1,446.18","3,042.88",999.86,939.44,"1,939.30"
2005,Alaska,"1,662.58","1,520.61","3,183.19","1,021.38",957.65,"1,979.03"
2006,Alaska,"1,751.68","1,583.31","3,334.99","1,057.72",967.14,"2,024.86"
2007,Alaska,"1,904.50","1,645.00","3,549.50","1,103.46",969.53,"2,072.98"
2008,Alaska,"2,218.16","1,680.02","3,898.18","1,207.88",948.36,"2,156.24"
2009,Alaska,"2,166.48","1,583.40","3,749.88","1,174.26",863.78,"2,038.04"
2010,Alaska,"2,230.64","1,639.98","3,870.62","1,205.05",883.40,"2,088.45"
2011,Alaska,"2,342.16","1,742.37","4,084.53","1,207.32",917.11,"2,124.43"
2012,Alaska,"2,610.51","1,867.22","4,477.73","1,313.28",955.63,"2,268.92"
2013,Alaska,"2,474.31","1,900.55","4,374.86","1,233.61",952.36,"2,185.97"
2014,Alaska,"2,421.14","2,085.20","4,506.34","1,178.94","1,020.07","2,199.01"
2015,Alaska,"2,312.16","2,229.03","4,541.19","1,112.89","1,060.11","2,173.00"
2016,Alaska,"2,205.88","2,245.99","4,451.87","1,075.88","1,041.37","2,117.25"
2017,Alaska,"2,163.83","2,372.65","4,536.48","1,057.48","1,075.00","2,132.48"
2018,Alaska,"2,192.51","2,583.74","4,776.24","1,066.70","1,140.66","2,207.36"
2019,Alaska,"2,283.06","2,820.79","5,103.85","1,101.04","1,208.02","2,309.06"
2020,Alaska,"2,432.63","2,342.36","4,774.98","1,133.52",970.59,"2,104.11"
1997,Arizona,"1,284.90","1,007.64","2,292.53",947.62,781.72,"1,729.34"
1998,Arizona,"1,262.66","1,084.07","2,346.73",913.88,819.62,"1,733.50"
1999,Arizona,"1,264.74","1,131.08","2,395.82",898.10,834.44,"1,732.54"
2000,Arizona,"1,167.21","1,147.73","2,314.94",810.58,827.18,"1,637.76"
2001,Arizona,"1,140.56","1,155.67","2,296.23",766.95,809.44,"1,576.39"
2002,Arizona,"1,148.01","1,195.99","2,344.00",762.29,817.00,"1,579.29"
2003,Arizona,"1,164.92","1,258.26","2,423.18",757.13,841.60,"1,598.73"
2004,Arizona,"1,202.70","1,346.89","2,549.59",753.14,874.94,"1,628.08"
2005,Arizona,"1,301.96","1,401.94","2,703.91",799.84,882.92,"1,682.76"
2006,Arizona,"1,310.76","1,454.08","2,764.84",791.48,888.20,"1,679.68"
2007,Arizona,"1,417.01","1,517.62","2,934.63",821.00,894.45,"1,715.45"
2008,Arizona,"1,639.96","1,517.43","3,157.38",893.03,856.58,"1,749.60"
2009,Arizona,"1,785.86","1,495.18","3,281.05",967.96,815.66,"1,783.62"
2010,Arizona,"1,918.14","1,533.30","3,451.43","1,036.23",825.94,"1,862.16"
2011,Arizona,"2,119.24","1,652.19","3,771.43","1,092.41",869.65,"1,962.05"
