Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1998,171.9,171.8,173.0,173.8,174.4,175.1,175.4,175.8,175.2,175.3,176.3,176.9,,,
1999,177.2,177.5,178.0,178.2,178.6,179.3,180.0,180.7,181.4,182.1,183.3,183.4,,,
2000,183.7,183.8,184.6,184.8,185.3,185.8,186.4,187.8,188.7,190.3,191.5,193.4,,,
2001,194.6,195.6,196.6,197.3,198.6,199.5,200.5,202.1,203.6,204.5,206.2,207.7,,,
2002,208.5,209.6,210.5,211.0,211.4,212.2,213.4,214.9,216.3,217.5,218.0,219.0,,,
2003,220.1,220.8,221.7,222.3,222.7,222.9,223.7,224.6,225.4,226.9,227.5,228.5,,,
2004,229.6,230.4,230.9,230.9,230.1,230.4,230.3,232.2,233.4,233.5,235.5,236.9,,,
2005,238.6,239.4,240.3,241.0,241.6,241.3,241.8,243.0,243.9,244.7,245.8,247.8,,,
2006,248.1,248.0,248.7,250.0,250.9,252.0,253.3,254.3,255.5,258.2,259.7,261.1,,,
2007,261.676,262.593,262.980,262.807,263.466,263.358,264.817,262.955,264.634,265.656,266.990,268.927,,,
2008,270.050,271.333,272.280,273.912,274.962,274.701,275.340,279.039,280.144,280.559,281.436,282.452,,,
2009,283.242,283.394,284.323,285.105,286.158,287.896,288.912,289.679,288.703,288.883,288.144,290.434,,,
2010,290.393,291.825,292.076,292.160,292.058,291.274,294.121,293.943,294.717,295.216,296.703,297.166,,,
2011,298.086,299.426,299.513,299.870,300.359,300.814,302.682,302.921,304.428,305.949,306.184,306.750,,,
2012,307.522,308.360,309.828,311.051,312.569,313.811,314.607,315.703,317.166,318.965,320.129,320.395,,,
2013,321.023,320.913,321.290,321.531,321.100,321.896,322.949,323.929,324.640,325.566,324.815,325.580,,,
2014,326.437,326.677,327.108,325.531,325.626,326.154,328.035,328.333,330.434,331.457,333.478,333.264,,,
2015,333.308,333.195,334.939,335.574,335.994,337.427,337.994,339.076,338.547,339.030,339.017,338.582,336.890,335.073,338.708
2016,338.395,338.343,340.077,340.852,341.501,341.324,341.982,342.376,343.609,344.211,344.544,344.642,341.821,340.082,343.561
2017,345.452,346.664,346.771,347.900,348.488,348.968,349.172,350.035,351.496,353.079,354.752,356.302,349.923,347.374,352.473
2018,357.181,357.092,356.530,357.225,357.886,359.060,359.621,360.318,360.382,360.902,361.400,362.426,359.169,357.496,360.842
2019,362.750,361.862,363.442,364.022,364.882,364.476,365.851,368.464,368.766,369.559,370.738,372.209,366.418,363.572,369.265
2020,372.756,373.658,373.812,374.170,376.139,377.257,378.325,379.735,380.032,380.030,378.448,377.920,376.857,374.632,379.082
2021,378.504,378.324,378.241,377.523,376.500,377.357,376.998,377.453,377.966,378.886,379.127,379.854,378.061,377.742,378.381
2022,380.423,380.826,381.529,382.783,384.095,385.497,387.026,389.042,392.073,395.501,399.862,402.524,388.432,382.526,394.338
2023,403.934,405.528,406.243,406.221,406.447,406.596,407.067,407.924,409.575,411.519,412.800,414.254,408.176,405.828,410.523
2024,415.673,418.175,419.086,,,,,,,,,,,,
