Year,Apartment (1 bedroom) in city centre,Apartment (1 bedroom) oustide city centre,Apartment (3 bedroom) in city centre,Apartment (3 bedroom) oustide city centre,Basic Apartment Cost 
2023,2576.67,2096.08,5654.17,4012.5,208.92
2022,2355.31,1888.46,4862.5,3257.14,137.07
2021,2126.8,1739.29,4125,2936.36,188.12
2020,2405.56,1813.92,4390,3313.16,144.3
2019,2316.74,1797.97,4474,3332.73,140.43
2018,2219.76,1670.04,3913.64,2838.5,127.97
2017,2146.79,1693.81,3852.78,2818.75,107.83
2016,2208.88,1696.41,4382.83,2732.75,133.86
2015,1998.65,1557.14,3781.25,2755.83,145.6
2014,2146.88,1583.75,4266.67,-,142.28
2013,2077.78,1375,-,1672.67,167.5
2012,1816.67,1264.29,3691.67,2300,159.83
2011,1825,1350,3750,2402.67,181.67
2010,1620,1233.33,2766,2036,230
